LOW REEL ONE-HAND AND TOGETHER-OPPOSITE TURNS — VERIFIED,,,,
Assumptions,Turn cases start at facing 0 and finish at facing 180; a body turn takes one halfbeat; poi timing continues unchanged.,,,
,,,,
ONE-HAND REFERENCE CYCLES,,,,
t,facing,right,,Body edge
"Right hand, inwards",,,,
"Right hand, low non-native, outwards, turning left, against poi, crosses",,,,
0,0,C a down,,
1,0,L b up,,
2,0,L b down,,
3,0,C a up,,
4,0,C a down,,
5,0,L b up,,
6,0,L b down,,
7,0,C a up,,
8,0,C a down,,Turn happens between 8 and 9. Crosses A→B. The crossing moves up.
9,180,C b up,,
10,180,L a down,,
11,180,L a up,,
12,180,C b down,,
,,,,
"Right hand, low non-native, outwards, turning left, against poi, holds plane side b",,,,
0,0,C a down,,
1,0,L b up,,
2,0,L b down,,
3,0,C a up,,
4,0,C a down,,
5,0,L b up,,Turn happens between 5 and 6. Holds B.
6,180,C b down,,
7,180,C b up,,
8,180,L a down,,
9,180,L a up,,
10,180,C b down,,
,,,,
"Right hand, low back, outwards, turning left, against poi, crosses",,,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,Turn happens between 4 and 5. Crosses B→A.
5,180,Cb a down,,
6,180,Cb a up,,
7,180,Lb b down,,
8,180,Lb b up,,
9,180,Cb a down,,
,,,,
"Right hand, low back, outwards, turning left, against poi, holds plane side b",,,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,Turn happens between 4 and 5. Holds B.
5,180,Lb b down,,
6,180,Lb b up,,
7,180,Cb a down,,
8,180,Cb a up,,
,,,,
"Right hand, low back, outwards, turning right, with poi, holds plane side a",,,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,
5,0,Cb b down,,
6,0,Lb a up,,Turn happens between 6 and 7. Holds A.
7,180,Cb a down,,
8,180,Cb a up,,
9,180,Lb b down,,
10,180,Lb b up,,
,,,,
"Right hand, low back, outwards, turning right, with poi, crosses",,,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,
5,0,Cb b down,,
6,0,Lb a up,,Turn happens between 6 and 7. Crosses A→B.
7,180,Lb b down,,
8,180,Lb b up,,
9,180,Cb a down,,
10,180,Cb a up,,
11,180,Lb b down,,
,,,,
TO TWO-HAND TURN-LEFT CASES,,,,
t,facing,left,right,Body edge
"TO unison → unison, turn left",,,,
0,0,C a up,C a up,
1,0,C a down,C a down,
2,0,L b up,R b up,
3,0,L b down,R b down,
4,0,C b up,C a up,Turn happens between 4 and 5. Left holds B; right crosses A→B.
5,180,C b down,C b down,
6,180,C b up,C b up,
7,180,L a down,R a down,
8,180,L a up,R a up,
,,,,
"TO unison → counter, turn left",,,,
0,0,C a up,C a up,
1,0,C a down,C a down,
2,0,L b up,R b up,
3,0,L b down,R b down,
4,0,C b up,C a up,Turn happens between 4 and 5. Left holds B; right holds A.
5,180,C b down,R a down,
6,180,C b up,R a up,
7,180,L a down,C b down,
8,180,L a up,C b up,
,,,,
"TO counter → unison, turn left",,,,
0,0,L b up,C a up,
1,0,L b down,C a down,
2,0,C a up,R b up,
3,0,C a down,R b down,
4,0,L b up,C a up,Turn happens between 4 and 5. Left crosses B→A; right holds A.
5,180,L a down,R a down,
6,180,L a up,R a up,
7,180,C b down,C b down,
8,180,C b up,C b up,
,,,,
"TO counter → counter, turn left",,,,
0,0,L b up,C a up,
1,0,L b down,C a down,
2,0,C a up,R b up,
3,0,C a down,R b down,
4,0,L b up,C a up,Turn happens between 4 and 5. Left holds B; right holds A.
5,180,C b down,R a down,
6,180,C b up,R a up,
7,180,L a down,C b down,
8,180,L a up,C b up,
